pipe_genesymbol,score
ARHGAP21,0.09559536125116659
ARHGAP22,0.14710009411978464
ARHGAP24,0.11560531656130625
ARHGAP25,0.33880357886335516
ARHGAP26,0.09568216010021839
ARHGAP27,0.16826610838332087
ARHGAP28,0.2109122352840025
ARHGAP29,0.09177058458416198
ARHGAP30,0.380264824683561
ARHGAP31,0.1537743131242986
ARHGAP32,0.061383389645567395
ARHGAP33,0.06488015668982244
ARHGAP35,0.1397744979667261
ARHGAP39,0.06392235212472501
ARHGAP4,0.21895400124449574
ARHGAP42,0.07843316989695506
ARHGAP44,0.07148699023579481
ARHGAP5,0.07637583611942375
ARHGAP6,0.143541065054635
ARHGAP8,0.22092106102591086
ARHGAP9,0.42414666094356274
ARHGDIA,0.23859040791804997
ARHGDIB,0.345936898879021
ARHGDIG,0.0735709575207309
ARHGEF1,0.2685570859011368
ARHGEF10,0.07289305053471819
ARHGEF10L,0.06664310800289953
ARHGEF11,0.07284545980603516
ARHGEF12,0.06113233736886969
ARHGEF16,0.2058760371898993
ARHGEF17,0.10263785743384495
ARHGEF18,0.18225737947206652
ARHGEF19,0.11246521937439304
ARHGEF2,0.11657766888734858
ARHGEF25,0.11194608486421068
ARHGEF26,0.07771122644727595
ARHGEF28,0.0814225039532479
ARHGEF3,0.22476971961252817
ARHGEF33,0.11276339033327815
ARHGEF37,0.13444314166125362
ARHGEF38,0.16224155085606448
ARHGEF39,0.1400572292632112
ARHGEF40,0.07571122940806226
ARHGEF5,0.20827650163024036
ARHGEF6,0.33679450552367984
ARHGEF7,0.10102062395364228
ARHGEF9,0.07941834333585013
ARID1A,0.21483867099734555
ARID1B,0.10327129552108742
ARID2,0.11322774656359036
ARID3A,0.0801865997382894
ARID3B,0.12496013248902361
ARID4A,0.12100825339564976
ARID4B,0.1197744493557425
ARID5A,0.10102406872115069
ARID5B,0.18039684478694468
ARIH1,0.13715465012022166
ARIH2,0.09696363013161463
ARL1,0.07492807343056083
ARL10,0.11787405571066842
ARL11,0.2401455038093745
ARL13B,0.07281668390017193
ARL14,0.23424360394120808
ARL14EP,0.0803850723513481
ARL15,0.07183537911604429
ARL16,0.0698427850914144
ARL17A,0.19016049515529393
ARL17B,0.10859032423623807
ARL2,0.08029593312822632
ARL2BP,0.14441168999949708
ARL3,0.06536773204723222
ARL4A,0.07114409594775421
ARL4C,0.2920471270439484
ARL4D,0.06768927022199793
ARL5A,0.10473240506842038
ARL5B,0.12232693418520826
ARL6,0.07451274640115715
ARL6IP1,0.17581027577563116
ARL6IP4,0.1862923423066206
ARL6IP5,0.2613856008617864
ARL6IP6,0.08430835478552674
ARL8A,0.07912082643849154
ARL8B,0.09182093520760666
ARL9,0.21312845766560073
ARMC1,0.07631219420487058
ARMC10,0.07010729074755322
ARMC12,0.21313289335354482
ARMC2,0.07265573618368656
ARMC5,0.06306977369128734
ARMC6,0.06686857084858605
ARMC7,0.08072115221922802
ARMC8,0.09961028245616026
ARMC9,0.0606833480978795
ARMCX1,0.06102274479428624
ARMCX2,0.061352065302533086
ARMCX3,0.07701121299641313
ARMCX4,0.07293402626905568
ARMCX5,0.07330473499164043
ARMCX6,0.09655801582379832
ARMT1,0.07090740708193934
ARNT,0.10338835035784752
ARNT2,0.0604346192992519
ARNTL,0.08553418912788911
ARNTL2,0.09083701907737196
ARPC1B,0.2253071995501434
ARPC2,0.27027482147853926
ARPC3,0.23133948195479198
ARPC4,0.24489007241360305
ARPC5,0.1916787967710128
ARPC5L,0.09910144655769498
ARPP19,0.17826347218492264
ARR3,0.1477010575341995
ARRB1,0.12928699595214374
ARRB2,0.2295033860335515
ARRDC1,0.09966177257772768
ARRDC2,0.18240123354324295
ARRDC3,0.15063485308620037
ARRDC4,0.08667204999584434
ARSA,0.07201838437608292
ARSB,0.10644085768544857
ARSG,0.10279470882742203
ARSJ,0.12604746088872043
ARSK,0.09163118670105044
ART3,0.14995522419939847
ARTN,0.1503262333230109
ARV1,0.08407092181751753
ARX,0.09159963347225818
ASAH1,0.13717412924434075
ASAH2,0.09295060983408748
ASAH2B,0.08454608628639847
ASAP1,0.12178499724686663
ASAP2,0.059582910140454005
ASAP3,0.17499455120807214
ASB1,0.07200550409793229
ASB11,0.15494817610734862
ASB12,0.2734800580012975
ASB13,0.06341100000069425
ASB15,0.23979595423519193
ASB2,0.18739393252352807
ASB3,0.07381867230454824
ASB4,0.18411363979883838
ASB6,0.07841405866184438
ASB7,0.12117553670891007
ASB8,0.141735560386973
ASB9,0.24957006487897268
ASCC1,0.07286852485968413
ASCC2,0.13506489883962872
ASCC3,0.12964734337087364
ASCL1,0.13750227059258566
ASCL2,0.12556936824452347
ASCL5,0.26501638645704156
ASF1A,0.10324077825937303
ASF1B,0.1096595749164553
ASGR1,0.2075078702049578
ASGR2,0.299945028062524
ASH1L,0.1718022887112744
ASH2L,0.09511605887543048
ASIC1,0.12789423820348148
ASIC2,0.08151327588606082
ASIC3,0.21504157665912468
ASIC4,0.0936487747786689
ASL,0.0905939196529293
ASNS,0.09168517440333561
ASNSD1,0.09844739728236161
ASPA,0.09701176771321446
ASPDH,0.11988045582732097
ASPG,0.19858901943971474
ASPH,0.0826449946880394
ASPHD1,0.06525066964753853
ASPHD2,0.1110803557640683
ASPM,0.12281853443764779
ASPRV1,0.0968788120144593
ASPSCR1,0.0662665407025118
ASRGL1,0.08203706353546847
ASS1,0.06281794272735075
ASTE1,0.07837463148490634
ASTN2,0.07688025877727958
ASXL1,0.12567125059509904
ASXL2,0.11899144759916742
ASXL3,0.07790629262632982
ATAD1,0.09104108443900623
ATAD2B,0.1045196815342883
ATAD3A,0.06308833320741303
ATAD5,0.07648999959817665
ATAT1,0.06630929063175575
ATCAY,0.09647200114299088
ATE1,0.07314497588957927
ATF1,0.07956938225857438
ATF2,0.16038962840653523
ATF3,0.14577616411607766
ATF4,0.2768872299143257
ATF5,0.06633471407369802
ATF6,0.09458249869680636
ATF6B,0.14433284955749281
ATF7IP,0.2350575681490242
ATF7IP2,0.22605462690623973
ATG10,0.0785147560584775
ATG101,0.08536004563470885
ATG12,0.07087109049907642
ATG13,0.07348698082006119
ATG14,0.0714672821622602
ATG16L1,0.0829440358663062
ATG16L2,0.17094259358792624
ATG2A,0.06906581838482072
ATG2B,0.07944086238864394
ATG3,0.17849601396753992
ATG4A,0.09465744514363728
ATG4B,0.0690796617633476
ATG4C,0.0950569159328378
ATG4D,0.07625106770427431
ATG5,0.08616001521617304
ATG7,0.07413247851702849
ATG9A,0.12272429008960355
ATG9B,0.09489025462698487
ATIC,0.12703444348566256
ATL1,0.07058528094574479
ATL2,0.07852080341236867
ATL3,0.09730272269422668
ATM,0.21116138439398782
ATMIN,0.09151944045280648
ATN1,0.09620510406336505
ATOH1,0.23522349146118343
ATOH7,0.17737933341540557
ATOH8,0.16179569820719783
ATOX1,0.16861265916663523
ATP10A,0.16604514613958588
ATP10B,0.14553723980854155
ATP11A,0.09985519376494849
ATP11B,0.1362279474765898
ATP11C,0.07552332546734755
ATP12A,0.26833844731018547
