DRUGBANK_ID,pipe_genesymbol
DB00530,KDR
DB00675,ABCC2
DB00184,DRD1
DB08837,SLC22A1
DB00773,MAPK3
DB00182,KAT2B
DB00938,ADRB2
DB00315,HTR1D
DB02325,CYP19A1
DB05969,CLK4
DB00829,GABRR1
DB11629,TBXA2R
DB11886,PIK3C2G
DB08868,S1PR1
DB00695,GNB3
DB14980,PIK3CG
DB01068,GABRA2
DB06707,RECQL
DB06249,ESR2
DB00808,KCNQ1
DB05676,PDE4B
DB00811,IMPDH1
DB15949,CYP2C9
DB06589,KDR
DB13277,USP1
DB12108,PIK3CD
DB00571,GFAP
DB00334,MTHFR
DB06176,HDAC1
DB01355,GABRA3
DB00624,AR
DB12381,FLT3
DB03225,RGS4
DB03172,NFE2L2
DB01013,NPSR1
DB11507,TBXA2R
DB01235,DRD3
DB05524,ERBB4
DB11759,UBA3
DB11648,AKT3
DB00709,SLC22A2
DB15102,FGFR1
DB00374,PPARG
DB06196,BDKRB2
DB00343,CACNA1C
DB00553,ESR1
DB08901,RIPK1
DB09074,CBLC
DB12318,ERBB2
DB01107,GABRA1
DB00091,FCGR3A
DB01185,AR
DB01251,KDM4E
DB01050,NOS1
DB01097,DHODH
DB05928,KIT
DB13020,MMP13
DB01125,GC
DB00575,ADRA2A
DB11778,AURKB
DB01223,PDE4A
DB00531,GNL3
DB12537,NOS1
DB04849,KDR
DB01726,NFE2L2
DB00897,BRD2
DB06016,DRD3
DB04840,ADRA2B
DB00169,NFE2L2
DB12858,ADRB3
DB00559,EDNRA
DB00307,KAT2A
DB00782,CHRM1
DB00490,PRL
DB00555,CYP1A2
DB00630,PLAU
DB06729,HSD17B10
DB01400,ACHE
DB11651,CHEK1
DB13178,GRM1
DB00351,NFE2L2
DB04115,SLC6A4
DB00437,CYP2C9
DB00669,HTR5A
DB12610,MPHOSPH8
DB12537,CCKBR
DB01068,GABRB2
DB12565,HDAC9
DB00624,TDP1
DB15442,RB1
DB00641,PPARA
DB12703,BRAF
DB00437,CYCSP5
DB04216,HSF1
DB00673,SPR
DB06787,CHRM2
DB01108,PTH
DB00553,CYP2D6
DB01179,TUBB2B
DB01234,CDK2
DB11478,ESR1
DB12865,CASR
DB00822,EHMT2
DB08142,CDK6
DB09128,HTR2A
DB00502,CYP3A4
DB12180,PIK3CD
DB04557,EHMT2
DB00321,DRD1
DB00316,FAAH
DB04938,ESR2
DB00495,SLC22A7
DB00989,BCHE
DB00779,EHMT2
DB06626,FLT1
DB00396,MAPK1
DB04794,AR
DB11986,FGFR3
DB01224,CYP2D6
DB00717,CGB5
DB00338,NR1I2
DB00975,PDE6B
DB03266,TP53
DB00317,TAB2
DB13016,GRM2
DB00315,HTR4
DB15091,TYK2
DB01261,GLP1R
DB11477,ADRA2C
DB00335,TBX2
DB11900,PTGDR2
DB00282,CD86
DB12032,CACNG1
DB00404,GABRR3
DB09073,ESR1
DB11967,MAP2K1
DB00214,SLC12A1
DB04786,CBX1
DB05381,HRH1
DB06401,ESR2
DB00334,GIPR
DB00404,GABRB1
DB00877,HRAS
DB09216,ATG4B
DB04915,TOP2B
DB09241,IDH1
DB00564,SCN5A
DB01577,MAOA
DB08889,PSMB4
DB01254,AXL
DB11757,ADORA3
DB04014,MARK3
DB00818,SCN2A
DB00546,GABRA1
DB09034,HCRTR2
DB04216,PIK3R5
DB00477,BDNF
DB02116,CYP1A2
DB00422,PDIA2
DB00441,TP53
DB00564,TNFRSF1B
DB01645,CEACAM5
DB05608,FGFR3
DB00368,FEN1
DB13343,ALPI
DB00543,HTR6
DB13174,HSD17B10
DB00127,CASP3
DB07159,EGFR
DB01463,SLC6A3
DB00218,KCNH2
DB00675,PLD2
DB00655,ESR2
DB00273,GABRA1
DB12032,CACNB3
DB06624,CNR2
DB00833,BAZ2B
DB00228,KCNK2
DB06176,HDAC4
DB06603,HDAC4
DB03044,MAPK10
DB16108,EGFR
DB09059,AVPR2
DB12307,FLT4
DB00822,RGS4
DB00619,PDGFRB
DB11642,CYP2D6
DB04868,ABL1
DB12163,HTR2A
DB00306,GRIK2
DB01702,HSD17B10
DB05223,HDAC6
DB01295,ADRB1
DB09241,APAF1
DB00384,HSPB1
DB00349,GABRQ
DB03904,HSPA4
DB00997,BAX
DB00776,SCN8A
DB08865,FGFR1
DB00633,ADRA2C
DB08889,PSMB8
DB11651,PIK3CG
DB00495,TK1
DB12686,CDK6
DB15133,MET
DB11800,KDR
DB00970,AR
DB00228,GABRD
DB11925,MTOR
DB00184,CHRNA10
DB00189,GABRB3
DB08896,RAF1
DB01174,SCN2A
DB00396,NR3C2
DB08865,ROS1
DB00749,NFE2L2
DB00834,SI
DB00648,CYP11B1
DB00312,GABRA3
DB00549,NFE2L2
DB11865,FGFR3
DB11689,HRAS
DB07715,PIK3CG
DB00238,CYP3A4
DB12774,RPTOR
DB12703,PIK3R2
DB00768,HRH1
DB00285,SLC6A4
DB05223,HDAC11
DB15584,HPGD
DB11396,HPGD
DB05482,HDAC3
DB01253,HTR1E
DB00586,CYP3A4
DB05381,HRH3
DB00786,MMP2
DB06169,TUBA4A
DB12071,HTR2B
DB13908,USP1
DB00675,IDH1
DB12627,GPR119
DB01073,CXCL12
DB00622,ABCB1
DB01254,PDGFRA
DB01130,NFE2L2
DB00199,F2RL1
DB00997,BRCA1
DB00860,FCGR3B
DB00935,ADRA1A
DB00205,AR
DB06603,HDAC3
DB05864,METAP2
DB00402,GABRA3
DB00897,KAT2B
DB00917,CATSPER2
DB00313,HDAC3
DB00765,TH
DB00650,SELE
DB13018,GRIN2D
DB12141,NTRK1
DB09552,CYP2D6
DB00237,GABRA5
DB00196,CYP3A4
DB12391,TUBA4A
DB09158,POLK
DB11940,NR2E3
DB07080,NR1H3
DB00822,GGT1
DB00422,ELP5
DB00533,GHRL
DB08889,PSMA8
DB11689,MAP2K5
DB15652,C5AR1
DB00695,GPR35
DB01221,GRIN2C
DB00396,OXTR
DB11870,NOTCH4
DB00293,ALB
DB05015,HDAC2
DB12874,KIT
DB12183,EGFR
DB13114,CYP3A4
DB01248,RNF8
DB05936,ADORA1
DB00317,MKNK2
DB00715,HTR3B
DB05220,SLK
DB12021,CDK9
DB00277,PDE4B
DB00546,GABRP
DB03568,HDAC7
DB00716,GLCCI1
DB01604,CYP3A4
DB00772,NFE2L2
DB12739,CCL2
DB00531,PIK3R2
DB00753,GABRB1
DB12695,MAPK1
DB00201,ADORA2B
DB00255,AMH
DB01197,ACE
DB01104,GNB3
DB01268,KDR
DB08911,MAP2K3
DB11781,XPNPEP2
DB00150,SLC22A2
DB11327,EHMT2
DB00441,ERBB2
DB11760,BRCA2
DB00441,SLC29A1
DB11666,PIK3CA
DB08890,GUCY2C
DB00313,CYP2D6
DB14904,MAP2K1
DB01594,GABRR1
DB13478,BCHE
DB06151,CXCR2
DB04794,HSP90AA1
DB14870,GHSR
DB05913,KIT
DB00563,ADORA2A-AS1
DB06678,ADRA2A
DB01577,MAOB
DB12138,MAPK13
DB05271,DRD4
DB06292,SLC5A4
DB00482,CACNA2D1
DB06807,CYP3A4
DB00194,ADORA2B
DB01355,GABRA6
DB06649,SCN9A
DB00162,RBP3
DB08078,PPARD
DB00199,CYP2D6
DB00455,SLC6A15
DB04014,NFE2L2
DB03496,CDKN2A
DB00482,STAT3
DB01388,CACNA1C
DB00445,TP53
DB01229,GMNN
DB00199,BCL2
DB01097,CYP1A2
DB00831,HRH1
DB00625,NR1I3
DB00777,HRH1
DB11967,UGT1A1
DB12769,PRPS1
DB12867,CYP2D6
DB00273,GRIK2
DB11967,NF1
DB00322,DNMT1
DB00335,PRKCB
DB05381,LMNA
DB00396,PI3
DB00928,HBB
DB02546,TUBA3D
DB00503,CXCL10
DB01204,KDM4A
DB01204,EHMT2
DB11896,PIK3R2
DB01076,AGTR1
DB06774,TRPV1
DB04888,HTR2C
DB08162,CLK4
DB13614,DRD1
DB04690,CYP3A4
DB00423,CYP2D6
DB03904,HSPB1
DB00334,HTR1E
DB11828,ERBB2
DB00340,CHRM5
DB15242,PPARG
DB01060,HLA-DRA
DB14011,KAT2B
DB00829,CYP3A5
DB00318,UGT2B7
DB00864,IL10
DB05039,UGT1A1
DB06302,KDR
DB01200,HTR6
DB01229,SLC29A1
DB09120,CYP3A4
DB01452,BDNF
DB08839,HTR2B
DB00763,CXCL8
DB04705,GPR183
DB00502,GRIA1
DB00440,CBX1
DB09085,SCN10A
DB00997,TOP2A
DB00482,ATP2A1
DB09079,FGFR3
DB13510,CYP2D6
DB00753,KCNK10
DB00390,FXYD2
DB11975,KISS1R
DB00415,CP
DB12369,STK3
DB00311,CA9
